Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",96.725000,-61.100000,180.000000,top
"J1","Conn_01x03_Female","PinHeader_1x03_P1.27mm_Vertical",53.000000,-53.000000,0.000000,top
"J2","Conn_01x03_Female","PinHeader_1x03_P1.27mm_Vertical",112.050000,-62.350000,0.000000,top
"J3","Conn_01x02_Female","PinHeader_1x02_P1.27mm_Vertical",53.000000,-72.000000,180.000000,top
"R1","10K","R_0603_1608Metric",92.325000,-61.100000,180.000000,top
"R2","10K","R_0603_1608Metric",85.550000,-64.085000,-90.000000,top
"R3","10K","R_0603_1608Metric",87.300000,-64.085000,-90.000000,top
"R4","10K","R_0603_1608Metric",83.800000,-64.085000,-90.000000,top
"R5","20K","R_0603_1608Metric",102.000000,-61.525000,-90.000000,top
"R6","20K","R_0603_1608Metric",99.800000,-66.425000,-90.000000,top
"R7","120","R_0603_1608Metric",102.000000,-64.775000,90.000000,top
"U2","MAX485E","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",94.525000,-64.905000,0.000000,top
